regime,tp_r,symbol,timeframe,bars,start,end,trades,wins,losses,win_rate,total_R,expectancy_R,profit_factor,total_pnl,return_pct,max_drawdown,max_drawdown_pct,avg_bars_held,buy_trades,sell_trades,buy_R,sell_R,tp_exits,sl_exits,unresolved,avg_sl_points,setups_detected,setups_entered,rejected_stops
live,1.25,gbpusd,M15,22174,2025-09-30 21:00:00+00:00,2026-08-21 20:45:00+00:00,57,22,35,38.59649122807017,-12.191728035784214,-0.21388996554007395,0.6774470286674695,-1219.1728035784215,-12.191728035784214,-1437.7767333680658,-14.377767333680659,48.64912280701754,35,22,-2.341099808704591,-9.850628227079628,21,35,1,292.26666666666523,82,59,0
live,1.25,gbpusd,H1,22655,2023-01-01 23:00:00+00:00,2026-08-21 20:00:00+00:00,145,58,87,40.0,-23.776050260965896,-0.16397276042045444,0.7431452317023824,-2377.6050260965894,-23.776050260965896,-2291.2729448505406,-22.912729448505406,19.6,75,70,-12.607627789434545,-11.16842247153135,58,87,0,388.05931034482774,248,155,0
live,1.25,gbpusd,H4,21210,2013-01-01 22:00:00+00:00,2026-08-21 17:00:00+00:00,228,110,118,48.24561403508772,11.422746831703463,0.05009976680571695,1.093747282318972,1142.274683170346,11.42274683170346,-1908.2634141034923,-19.082634141034923,7.657894736842105,129,99,10.748716219097147,0.674030612606318,110,118,0,566.2324561403511,547,238,0
live,1.25,gbpusd,D1,6311,2002-05-07 00:00:00+00:00,2026-08-21 00:00:00+00:00,31,16,15,51.61290322580645,3.730760667053759,0.12034711829205674,1.2357315959288815,373.07606670537575,3.7307606670537576,-428.30418177239153,-4.283041817723916,2.096774193548387,16,15,1.259854273487786,2.470906393565972,16,15,0,613.5967741935463,216,31,0
live,1.25,us100,M1,26000,2026-08-09 22:00:00+00:00,2026-09-03 05:36:00+00:00,100,49,51,49.0,2.014952451238625,0.020149524512386253,1.0361463496878418,201.49524512386301,2.01495245123863,-1194.0410237822198,-11.940410237822197,29.46,49,51,3.9899588921225426,-1.9750064408839147,49,51,0,304.1480000000014,163,106,0
live,1.25,us100,M5,21307,2026-05-10 22:00:00+00:00,2026-08-21 20:55:00+00:00,220,106,114,48.18181818181818,6.3926391492561,0.02905745067843682,1.0531263005921403,639.2639149256102,6.392639149256102,-1748.6655224670394,-17.486655224670393,8.440909090909091,113,107,-3.8435721191472805,10.23621126840338,106,114,0,450.95999999999964,404,226,0
live,1.25,us100,M15,21857,2025-09-30 21:00:00+00:00,2026-08-21 20:45:00+00:00,188,104,84,55.319148936170215,36.7675745941631,0.1955722052881016,1.4173229309840176,3676.7574594163098,36.7675745941631,-806.4629410639827,-8.064629410639828,6.23936170212766,113,75,18.24325808876621,18.524316505396882,104,84,0,468.2563829787223,466,196,0
live,1.25,us100,H1,21841,2023-01-02 23:00:00+00:00,2026-08-21 20:00:00+00:00,148,78,70,52.702702702702695,21.037619488915887,0.14214607762781004,1.2873140403209966,2103.7619488915884,21.037619488915883,-1084.616206933324,-10.84616206933324,5.033783783783784,99,49,15.658015051878666,5.37960443703722,78,70,0,544.8094594594588,543,151,0
live,1.25,us100,H4,14187,2017-04-30 22:00:00+00:00,2026-08-21 17:00:00+00:00,93,47,46,50.53763440860215,2.561584786790366,0.027543922438606087,1.0471253784623993,256.1584786790363,2.561584786790363,-1075.8593038871768,-10.758593038871767,6.473118279569892,70,23,4.235139227524409,-1.6735544407340446,47,46,0,594.6150537634404,440,98,0
live,1.25,us100,D1,2897,2015-04-20 00:00:00+00:00,2026-08-21 00:00:00+00:00,16,10,6,62.5,6.0036790026590285,0.3752299376661893,1.956914097881734,600.3679002659029,6.003679002659029,-217.77245729545393,-2.1777245729545394,1.875,13,3,4.561335489228818,1.4423435134302105,10,6,0,633.9000000000004,95,16,0
live,1.25,us30,M1,25717,2026-08-09 22:00:00+00:00,2026-09-03 05:37:00+00:00,83,33,50,39.75903614457831,-18.434181116852137,-0.22209856767291733,0.6745673062271115,-1843.4181116852149,-18.434181116852148,-2156.3245931916244,-21.563245931916246,17.240963855421686,44,39,-10.623268152117744,-7.810912964734398,33,50,0,276.269879518075,133,88,0
